Z0.8r,Z0.8k,Z0.8y,Z0.8P,Z0.95r,Z0.95k,Z0.95y,Z0.95P,P0.8r,P0.8k,P0.8y,P0.8P,P0.95r,P0.95k,P0.95y,P0.95P
0.03344,1.2445,0.47292,1.072,0.033511,0.83763,0.39262,1.3214,0.033442,1.2444,0.47291,1.072,0.033506,0.83803,0.3927,1.3211
0.03344,1.2445,0.47292,1.072,0.03351,0.83768,0.39263,1.3214,0.033442,1.2444,0.47291,1.072,0.033505,0.83807,0.39271,1.3211
0.03344,1.2445,0.47292,1.072,0.033509,0.83774,0.39264,1.3213,0.033442,1.2444,0.47291,1.072,0.033504,0.83811,0.39272,1.321
0.03344,1.2445,0.47292,1.072,0.033508,0.83779,0.39265,1.3213,0.033442,1.2444,0.47291,1.072,0.033503,0.83815,0.39272,1.321
0.03344,1.2444,0.47292,1.072,0.033507,0.83784,0.39266,1.3213,0.033442,1.2444,0.47291,1.072,0.033502,0.83818,0.39273,1.321
0.03344,1.2444,0.47292,1.072,0.033506,0.83788,0.39267,1.3212,0.033442,1.2444,0.47291,1.072,0.033501,0.83821,0.39274,1.321
0.03344,1.2444,0.47292,1.072,0.033506,0.83793,0.39268,1.3212,0.033442,1.2444,0.47291,1.072,0.0335,0.83825,0.39274,1.321
0.033441,1.2444,0.47292,1.072,0.033505,0.83797,0.39269,1.3212,0.033442,1.2444,0.47291,1.072,0.0335,0.83828,0.39275,1.3209
0.033441,1.2444,0.47292,1.072,0.033504,0.83801,0.3927,1.3211,0.033442,1.2444,0.47291,1.072,0.033499,0.83831,0.39275,1.3209
0.033441,1.2444,0.47292,1.072,0.033503,0.83805,0.39271,1.3211,0.033442,1.2444,0.47291,1.072,0.033498,0.83833,0.39276,1.3209
0.033441,1.2444,0.47292,1.072,0.033502,0.83809,0.39271,1.3211,0.033442,1.2444,0.47291,1.072,0.033498,0.83836,0.39276,1.3209
0.033441,1.2444,0.47292,1.072,0.033502,0.83813,0.39272,1.3211,0.033442,1.2444,0.47291,1.072,0.033497,0.83838,0.39277,1.3209
0.033441,1.2444,0.47292,1.072,0.033501,0.83816,0.39273,1.321,0.033442,1.2444,0.47291,1.072,0.033497,0.83841,0.39277,1.3209
0.033441,1.2444,0.47292,1.072,0.0335,0.83819,0.39273,1.321,0.033442,1.2444,0.47291,1.072,0.033496,0.83843,0.39278,1.3208
0.033441,1.2444,0.47292,1.072,0.0335,0.83822,0.39274,1.321,0.033442,1.2444,0.47291,1.072,0.033496,0.83845,0.39278,1.3208
